Holding;Symbol;Weighting;ETF
Amazon.com;AMZN;26.25%;XLY
Tesla;TSLA;12.52%;XLY
Home Depot;HD;4.83%;XLY
McDonald\'s Corporation;MCD;4.44%;XLY
Lowe\'s Companies;LOW;4.05%;XLY
Booking Holdings Inc.;BKNG;3.53%;XLY
NIKE;NKE;3.52%;XLY
TJX Companies Inc;TJX;3.19%;XLY
Starbucks Corporation;SBUX;3.02%;XLY
Chipotle Mexican Grill;CMG;2.14%;XLY
Airbnb;ABNB;2.08%;XLY
O\'Reilly Automotive;ORLY;1.86%;XLY
Marriott International;MAR;1.79%;XLY
AutoZone;AZO;1.58%;XLY
General Motors Company;GM;1.57%;XLY
lululemon athletica inc.;LULU;1.54%;XLY
Hilton Worldwide Holdings Inc;HLT;1.53%;XLY
Ross Stores;ROST;1.43%;XLY
Ford Motor Company;F;1.39%;XLY
D.R. Horton;DHI;1.34%;XLY
Lennar Corporation Class A;LEN;1.19%;XLY
Yum! Brands;YUM;1.14%;XLY
Royal Caribbean Group;RCL;0.87%;XLY
Tractor Supply Company;TSCO;0.79%;XLY
Ulta Beauty Inc.;ULTA;0.77%;XLY
eBay Inc.;EBAY;0.76%;XLY
NVR;NVR;0.71%;XLY
PulteGroup;PHM;0.71%;XLY
Aptiv PLC;APTV;0.64%;XLY
Garmin Ltd.;GRMN;0.63%;XLY
Genuine Parts Company;GPC;0.61%;XLY
Darden Restaurants;DRI;0.6%;XLY
Las Vegas Sands Corp.;LVS;0.55%;XLY
Expedia Group;EXPE;0.53%;XLY
Carnival Corporation;CCL;0.48%;XLY
Pool Corporation;POOL;0.47%;XLY
Domino\'s Pizza;DPZ;0.45%;XLY
Best Buy Co.;BBY;0.44%;XLY
LKQ Corporation;LKQ;0.4%;XLY
CarMax;KMX;0.38%;XLY
MGM Resorts International;MGM;0.34%;XLY
Tapestry;TPR;0.31%;XLY
Bath & Body Works;BBWI;0.3%;XLY
Wynn Resorts;WYNN;0.28%;XLY
Caesars Entertainment Inc;CZR;0.26%;XLY
Norwegian Cruise Line Holdings Ltd.;NCLH;0.25%;XLY
Etsy;ETSY;0.25%;XLY
BorgWarner Inc.;BWA;0.22%;XLY
Ralph Lauren Corporation Class A;RL;0.2%;XLY
Hasbro;HAS;0.2%;XLY
Mohawk Industries;MHK;0.19%;XLY
Whirlpool Corporation;WHR;0.17%;XLY
V.F. Corporation;VFC;0.15%;XLY
