"Global X Cybersecurity ETF",,,,,,
"Fund Holdings Data as of 03/01/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
7.86,CRWD,"CROWDSTRIKE HO-A",BJJP138,314.60,"198,439.00","62,428,909.40"
6.29,ZS,"ZSCALER INC",BZ00V34,219.23,"227,897.00","49,961,859.31"
6.29,S,"SENTINELONE INC -CLASS A",BP7L1B8,27.90,"1,789,054.00","49,914,606.60"
5.81,GEN,"GEN DIGITAL INC",BJN4XN5,21.83,"2,112,249.00","46,110,395.67"
5.57,FTNT,"FORTINET INC",B5B2106,70.44,"627,506.00","44,201,522.64"
5.50,PANW,"PALO ALTO NETWORKS INC",B87ZMX0,302.40,"144,432.00","43,676,236.80"
5.45,OKTA,"OKTA INC",BDFZSP1,108.49,"398,621.00","43,246,392.29"
5.27,CHKP,"CHECK POINT SOFTWARE TECH",2181334,158.05,"264,635.00","41,825,561.75"
5.23,VRNS,"VARONIS SYSTEMS INC",BJZ2ZR5,51.11,"812,965.00","41,550,641.15"
5.23,CYBR,"CYBERARK SOFTWAR",BQT3XY6,265.88,"156,163.00","41,520,618.44"
5.02,,"B 04/02/24",BQ72J69,1.00,"40,000,000.00","39,829,222.40"
4.65,TENB,"TENABLE HOLDINGS INC",BF7J7N6,48.10,"767,103.00","36,897,654.30"
4.59,"4704 JP","TREND MICRO INC",6125286,51.38,"709,504.00","36,457,044.84"
4.28,ATEN,"A10 NETWORKS INC",BKQVBN6,13.65,"2,491,208.00","34,004,989.20"
4.24,RPD,"RAPID7 INC",BZ22CY6,58.60,"574,962.00","33,692,773.20"
3.82,RDWR,"RADWARE LTD",2494548,17.91,"1,693,287.00","30,326,770.17"
3.76,QLYS,"QUALYS INC",B7XJTN8,167.93,"177,556.00","29,816,979.08"
3.61,"DARK LN","DARKTRACE PLC",BNYK8G8,4.57,"6,283,906.00","28,688,261.23"
2.56,"053800 KS","AHNLAB INC",6406271,53.69,"378,323.00","20,313,979.05"
2.56,BB,"BLACKBERRY LTD",BCBHZ42,2.78,"7,304,826.00","20,307,416.28"
2.00,"2326 JP","DIGITAL ARTS INC",6543587,29.84,"530,956.00","15,844,681.97"
1.87,OSPN,"ONESPAN INC",BFNSSD4,9.92,"1,494,506.00","14,825,499.52"
1.59,"4475 JP","HENNGE KK",BKWBPS3,10.38,"1,215,012.00","12,617,510.13"
1.24,TLS,"TELOS CORPORATION",BLDDYL1,3.80,"2,599,601.00","9,878,483.80"
0.34,ARQQ,"ARQIT QUANTUM INC",BNYCBL0,0.73,"3,728,336.00","2,728,769.12"
0.05,,CASH,,1.00,"362,291.76","362,291.76"
-4.66,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-36,980,967.48","-36,980,967.48"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
