Security Description,Ticker,ETF,Weight
Okta Inc,OKTA,WCLD,1.85336
C3.Ai Inc-A,AI,WCLD,1.82418
Block Inc - A,SQ,WCLD,1.74313
Zoom Video Communications-A,ZM,WCLD,1.69199
Salesforce Inc,CRM,WCLD,1.66136
Wix.Com Ltd,WIX,WCLD,1.65028
Docusign Inc,DOCU,WCLD,1.61857
Avidxchange Holdings Inc,AVDX,WCLD,1.61594
Procore Technologies Inc,PCOR,WCLD,1.61524
Q2 Holdings Inc,QTWO,WCLD,1.6039
Hubspot Inc,HUBS,WCLD,1.58788
Sprinklr Inc-A,CXM,WCLD,1.58602
Asana Inc - Cl A,ASAN,WCLD,1.58213
Ringcentral Inc-Class A,RNG,WCLD,1.57186
Toast Inc-Class A,TOST,WCLD,1.55856
Confluent Inc-Class A,CFLT,WCLD,1.55421
PayPal Holdings Inc,PYPL,WCLD,1.55045
Bill Holdings Inc,BILL,WCLD,1.54817
Appfolio Inc,APPF,WCLD,1.53749
Pagerduty Inc,PD,WCLD,1.53734
Samsara Inc-Cl A,IOT,WCLD,1.52686
Box Inc - Class A,BOX,WCLD,1.52392
monday.com Ltd,MNDY,WCLD,1.51979
Veeva Systems Inc-Class A,VEEV,WCLD,1.51703
ServiceNow Inc,NOW,WCLD,1.51608
Olo Inc - Class A,OLO,WCLD,1.51348
AvePoint Inc,AVPT,WCLD,1.51215
Gitlab Inc-Cl A,GTLB,WCLD,1.51193
Qualys Inc,QLYS,WCLD,1.50858
Datadog Inc - Class A,DDOG,WCLD,1.5078
Cloudflare Inc - Class A,NET,WCLD,1.50752
Twilio Inc - A,TWLO,WCLD,1.50619
Sprout Social Inc - Class A,SPT,WCLD,1.50585
NCINO,NCNO,WCLD,1.50564
Squarespace Inc - Class A,SQSP,WCLD,1.49989
Atlassian Corp -Class A,TEAM,WCLD,1.49895
Freshworks Inc-Cl A,FRSH,WCLD,1.49315
Blackline Inc,BL,WCLD,1.4929
Adobe Inc,ADBE,WCLD,1.47565
Paylocity Holding Corp,PCTY,WCLD,1.47289
Zoominfo Technologies Inc-A,ZI,WCLD,1.46697
Braze Inc-A,BRZE,WCLD,1.4627
Workday Inc,WDAY,WCLD,1.46238
Crowdstrike Holdings Inc - A,CRWD,WCLD,1.45393
Paycom Software Inc,PAYC,WCLD,1.452
JFrog Ltd,FROG,WCLD,1.45165
Smartsheet Inc-Class A,SMAR,WCLD,1.45141
Digitalocean Holdings Inc,DOCN,WCLD,1.43518
Yext Inc,YEXT,WCLD,1.43118
Tenable Holdings Inc,TENB,WCLD,1.42784
Klaviyo Inc-A,KVYO,WCLD,1.42713
Sentinelone Inc -Class A,S,WCLD,1.41926
Zuora Inc - Class A,ZUO,WCLD,1.41396
Mongodb Inc,MDB,WCLD,1.40688
Uipath Inc - Class A,PATH,WCLD,1.3974
Shopify Inc - Class A,SHOP,WCLD,1.39418
Workiva Inc,WK,WCLD,1.38744
Dropbox Inc-Class A,DBX,WCLD,1.3833
Elastic Nv,ESTC,WCLD,1.34974
Bigcommerce Holdings-Ser 1,BIGC,WCLD,1.33672
Definitive Healthcare Corp,DH,WCLD,1.33573
Zscaler Inc,ZS,WCLD,1.32378
Clearwater Analytics Hds-A,CWAN,WCLD,1.30874
Fastly Inc - Class A,FSLY,WCLD,1.30851
Five9 Inc,FIVN,WCLD,1.26066
Snowflake Inc-Class A,SNOW,WCLD,1.22468
Amplitude Inc-Class A,AMPL,WCLD,1.21832
