Holding,Symbol,ETF,Weighting
General Electric Company,GE,XLI,4.84%
Caterpillar Inc.,CAT,XLI,4.58%
"Uber Technologies, Inc.",UBER,XLI,4.29%
Union Pacific Corporation,UNP,XLI,4.05%
Honeywell International Inc.,HON,XLI,3.50%
RTX Corporation,RTX,XLI,3.46%
Eaton Corp. Plc,ETN,XLI,3.14%
Boeing Company,BA,XLI,2.99%
"United Parcel Service, Inc. Class B",UPS,XLI,2.95%
Deere & Company,DE,XLI,2.65%
"Automatic Data Processing, Inc.",ADP,XLI,2.64%
Lockheed Martin Corporation,LMT,XLI,2.53%
"Waste Management, Inc.",WM,XLI,2.01%
CSX Corporation,CSX,XLI,2.00%
Illinois Tool Works Inc.,ITW,XLI,1.89%
Parker-Hannifin Corporation,PH,XLI,1.83%
Trane Technologies plc,TT,XLI,1.72%
Northrop Grumman Corp.,NOC,XLI,1.72%
TransDigm Group Incorporated,TDG,XLI,1.71%
Emerson Electric Co.,EMR,XLI,1.66%
General Dynamics Corporation,GD,XLI,1.63%
PACCAR Inc,PCAR,XLI,1.59%
Norfolk Southern Corporation,NSC,XLI,1.55%
FedEx Corporation,FDX,XLI,1.52%
Cintas Corporation,CTAS,XLI,1.43%
3M Company,MMM,XLI,1.37%
Carrier Global Corp.,CARR,XLI,1.29%
"Copart, Inc.",CPRT,XLI,1.27%
"United Rentals, Inc.",URI,XLI,1.21%
Fastenal Company,FAST,XLI,1.14%
"W.W. Grainger, Inc.",GWW,XLI,1.13%
"AMETEK, Inc.",AME,XLI,1.11%
Johnson Controls International plc,JCI,XLI,1.11%
L3Harris Technologies Inc,LHX,XLI,1.08%
Otis Worldwide Corporation,OTIS,XLI,1.06%
"Paychex, Inc.",PAYX,XLI,1.03%
Cummins Inc.,CMI,XLI,1.01%
"Old Dominion Freight Line, Inc.",ODFL,XLI,1.01%
"Republic Services, Inc.",RSG,XLI,1.00%
Ingersoll Rand Inc.,IR,XLI,0.97%
"Quanta Services, Inc.",PWR,XLI,0.93%
Verisk Analytics Inc,VRSK,XLI,0.91%
"Rockwell Automation, Inc.",ROK,XLI,0.89%
Equifax Inc.,EFX,XLI,0.88%
Xylem Inc.,XYL,XLI,0.81%
Fortive Corp.,FTV,XLI,0.79%
"Delta Air Lines, Inc.",DAL,XLI,0.72%
Howmet Aerospace Inc.,HWM,XLI,0.70%
Westinghouse Air Brake Technologies Corporation,WAB,XLI,0.68%
"Builders FirstSource, Inc.",BLDR,XLI,0.65%
"Broadridge Financial Solutions, Inc.",BR,XLI,0.63%
Dover Corporation,DOV,XLI,0.63%
Axon Enterprise Inc,AXON,XLI,0.58%
Hubbell Incorporated,HUBB,XLI,0.56%
Southwest Airlines Co.,LUV,XLI,0.54%
Veralto Corporation,VLTO,XLI,0.52%
Jacobs Solutions Inc.,J,XLI,0.49%
Textron Inc.,TXT,XLI,0.48%
IDEX Corporation,IEX,XLI,0.48%
"Leidos Holdings, Inc.",LDOS,XLI,0.47%
"Expeditors International of Washington, Inc.",EXPD,XLI,0.47%
Masco Corporation,MAS,XLI,0.46%
"J.B. Hunt Transport Services, Inc.",JBHT,XLI,0.43%
Snap-on Incorporated,SNA,XLI,0.41%
Nordson Corporation,NDSN,XLI,0.38%
"United Airlines Holdings, Inc.",UAL,XLI,0.38%
"Stanley Black & Decker, Inc.",SWK,XLI,0.37%
Pentair plc,PNR,XLI,0.36%
"Rollins, Inc.",ROL,XLI,0.34%
"Huntington Ingalls Industries, Inc.",HII,XLI,0.31%
Allegion Public Limited Company,ALLE,XLI,0.30%
"Dayforce, Inc.",DAY,XLI,0.28%
A. O. Smith Corporation,AOS,XLI,0.28%
American Airlines Group Inc.,AAL,XLI,0.25%
"Paycom Software, Inc.",PAYC,XLI,0.24%
Robert Half Inc.,RHI,XLI,0.23%
"C.H. Robinson Worldwide, Inc.",CHRW,XLI,0.22%
Generac Holdings Inc.,GNRC,XLI,0.19%
,,,
,,,
