Holding,Symbol,Weighting
Prologis,PLD,12.25%
American Tower Corporation,AMT,9.49%
Equinix,EQIX,8.39%
Welltower Inc.,WELL,5.00%
Simon Property Group,SPG,4.83%
Crown Castle Inc.,CCI,4.81%
Public Storage,PSA,4.55%
Digital Realty Trust,DLR,4.44%
Realty Income Corporation,O,4.32%
CoStar Group,CSGP,3.45%
Extra Space Storage Inc.,EXR,3.12%
VICI Properties Inc,VICI,2.96%
CBRE Group,CBRE,2.82%
AvalonBay Communities,AVB,2.61%
Weyerhaeuser Company,WY,2.50%
SBA Communications Corp. Class A,SBAC,2.37%
Iron Mountain,IRM,2.33%
Equity Residential,EQR,2.15%
Invitation Homes,INVH,1.98%
Alexandria Real Estate Equities,ARE,1.95%
Ventas,VTR,1.75%
Essex Property Trust,ESS,1.55%
Mid-America Apartment Communities,MAA,1.55%
Host Hotels & Resorts,HST,1.45%
Kimco Realty Corporation,KIM,1.27%
Healthpeak Properties,DOC,1.23%
UDR,UDR,1.13%
Camden Property Trust,CPT,1.06%
Regency Centers Corporation,REG,1.00%
Boston Properties,BXP,0.91%
Federal Realty Investment Trust,FRT,0.74%
