Rank,Ticker,Momentum (%),Shares,Position ($),Sum ($),ATR20d ($),Price,Sector,Universe
1,CRWD,523.7,18,5833.8,5833.8,14.0,324.1,Information Technology,Nasdaq 100
2,AMD,474.7,32,6160.0,11993.8,7.9,192.5,Semiconductors,S&P 500
3,NVDA,389.6,8,6328.8,18322.6,32.0,791.1,Semiconductors,S&P 500
4,BLDR,364.1,46,8979.2,27301.8,5.6,195.2,Building Products,S&P 500
5,TPR,363.3,200,9500.0,36801.8,1.3,47.5,"Apparel, Accessories & Luxury Goods",S&P 500
6,URI,332.1,16,11092.8,47894.600000000006,15.8,693.3,Trading Companies & Distributors,S&P 500
7,UBER,328.1,96,7632.0,55526.600000000006,2.7,79.5,Passenger Ground Transportation,S&P 500
8,CTLT,326.2,185,10600.5,66127.1,1.4,57.3,Pharmaceuticals,S&P 500
9,BBWI,296.6,185,8454.5,74581.6,1.4,45.7,Other Specialty Retail,S&P 500
10,META,253.8,16,7841.6,82423.20000000001,15.8,490.1,Interactive Media & Services,S&P 500
11,ASML,250.5,11,10468.7,92891.90000000001,22.3,951.7,Information Technology,Nasdaq 100
12,RL,245.5,50,9295.0,102186.90000000001,5.2,185.9,"Apparel, Accessories & Luxury Goods",S&P 500
13,MPWR,245.4,8,5760.0,107946.90000000001,30.4,720.0,Semiconductors,S&P 500
14,JNPR,238.4,1300,48100.0,156046.90000000002,0.2,37.0,Communications Equipment,S&P 500
15,ZS,236.2,22,5324.0,161370.90000000002,11.8,242.0,Information Technology,Nasdaq 100
16,AVGO,235.5,7,9103.5,170474.40000000002,33.9,1300.5,Semiconductors,S&P 500
17,LRCX,219.9,9,8443.8,178918.2,26.5,938.2,Semiconductor Materials & Equipment,S&P 500
18,AXP,219.9,81,17771.4,196689.6,3.2,219.4,Consumer Finance,S&P 500
19,VTRS,215.2,650,8060.0,204749.6,0.4,12.4,Pharmaceuticals,S&P 500
20,ISRG,211.9,40,15424.0,220173.6,6.5,385.6,Health Care Equipment,S&P 500
21,CRM,210.9,37,11425.6,231599.2,6.9,308.8,Application Software,S&P 500
22,EFX,200.0,37,10123.2,241722.40000000002,7.0,273.6,Research & Consulting Services,S&P 500
23,LUV,196.9,288,9878.4,251600.80000000002,0.9,34.3,Passenger Airlines,S&P 500
24,MHK,195.2,74,8776.4,260377.2,3.5,118.6,Home Furnishings,S&P 500
25,DASH,195.0,52,6479.2,266856.4,5.0,124.6,Consumer Discretionary,Nasdaq 100
26,MRVL,186.9,92,6596.4,273452.80000000005,2.8,71.7,Information Technology,Nasdaq 100
27,GM,186.0,288,11808.0,285260.80000000005,0.9,41.0,Automobile Manufacturers,S&P 500
28,SYF,184.9,288,11894.4,297155.20000000007,0.9,41.3,Consumer Finance,S&P 500
29,DVA,184.2,70,8890.0,306045.20000000007,3.7,127.0,Health Care Services,S&P 500
30,ANET,179.0,27,7492.5,313537.70000000007,9.4,277.5,Communications Equipment,S&P 500
31,FICO,177.2,8,10159.2,323696.9000000001,28.9,1269.9,Application Software,S&P 500
32,IR,175.5,144,13147.2,336844.1000000001,1.8,91.3,Industrial Machinery & Supplies & Components,S&P 500
33,COF,175.4,81,11145.6,347989.70000000007,3.2,137.6,Consumer Finance,S&P 500
34,WDAY,175.0,36,10609.2,358598.9000000001,7.2,294.7,Information Technology,Nasdaq 100
35,HCA,167.7,47,14649.9,373248.8000000001,5.5,311.7,Health Care Facilities,S&P 500
36,ULTA,166.6,24,13166.4,386415.2000000001,10.8,548.6,Other Specialty Retail,S&P 500
37,C,166.2,236,13098.0,399513.2000000001,1.1,55.5,Diversified Banks,S&P 500
38,MAS,163.5,162,12441.6,411954.8000000001,1.6,76.8,Building Products,S&P 500
39,CAT,161.2,35,11690.0,423644.8000000001,7.3,334.0,Construction Machinery & Heavy Transportation Equipment,S&P 500
40,TRV,156.9,81,17901.0,441545.8000000001,3.2,221.0,Property & Casualty Insurance,S&P 500
41,DFS,156.2,83,10018.1,451563.9000000001,3.1,120.7,Consumer Finance,S&P 500
42,NFLX,155.7,20,12058.0,463621.9000000001,12.8,602.9,Movies & Entertainment,S&P 500
43,WDC,153.8,185,11007.5,474629.4000000001,1.4,59.5,"Technology Hardware, Storage & Peripherals",S&P 500
44,LEN,152.3,70,11095.0,485724.4000000001,3.7,158.5,Homebuilding,S&P 500
45,FITB,151.5,325,11147.5,496871.9000000001,0.8,34.3,Diversified Banks,S&P 500
46,TT,150.3,46,12972.0,509843.9000000001,5.6,282.0,Building Products,S&P 500
47,PHM,149.4,100,10840.0,520683.9000000001,2.6,108.4,Homebuilding,S&P 500
48,COST,145.2,27,20085.3,540769.2000000001,9.6,743.9,Consumer Staples Merchandise Retail,S&P 500
49,PH,141.7,26,13923.0,554692.2000000001,10.0,535.5,Industrial Machinery & Supplies & Components,S&P 500
50,ALLE,140.0,81,10359.9,565052.1000000001,3.2,127.9,Building Products,S&P 500
